iter	RMSE
0	4.629553284
1	4.590982219
2	4.552868984
3	4.515137975
4	4.477898148
5	4.441136248
6	4.404767274
7	4.368832353
8	4.333300802
9	4.298145613
10	4.263473107
11	4.22920639
12	4.195270088
13	4.161816961
14	4.128780734
15	4.096111687
16	4.063852143
17	4.0318914
18	4.000403835
19	3.969277876
20	3.938459692
21	3.908104732
22	3.878025135
23	3.848394566
24	3.819044786
25	3.790140134
26	3.761568654
27	3.733253202
28	3.70540379
29	3.67780869
30	3.650641546
31	3.62378512
32	3.597288712
33	3.571010218
34	3.545173799
35	3.51956479
36	3.494367559
37	3.469432781
38	3.444883795
39	3.420606716
40	3.396672121
41	3.372534771
42	3.349213872
43	3.326162535
44	3.303390739
45	3.280959334
46	3.258761124
47	3.236369006
48	3.214268426
49	3.192978138
50	3.171906171
51	3.151130485
52	3.1306411
53	3.110464257
54	3.090412542
55	3.070721922
56	3.051260061
57	3.032102585
58	3.013242101
59	2.994598432
60	2.976278006
61	2.958078317
62	2.939698318
63	2.922042808
64	2.904518634
65	2.887429423
66	2.870419
67	2.853771541
68	2.837360005
69	2.821114782
70	2.80519131
71	2.789428296
72	2.773917078
73	2.758634225
74	2.743593119
75	2.72859605
76	2.713985485
77	2.699345635
78	2.685136531
79	2.670817886
80	2.656912463
81	2.64269251
82	2.628550862
83	2.614640894
84	2.601606903
85	2.58859931
86	2.575867945
87	2.562953941
88	2.549981945
89	2.537715939
90	2.525112158
91	2.513359417
92	2.501806765
93	2.49023709
94	2.478688741
95	2.467610336
96	2.456042548
97	2.445145117
98	2.434593751
99	2.423504213
100	2.412809014
101	2.402713869
102	2.392101944
103	2.38158292
104	2.371431738
105	2.361922222
106	2.352235546
107	2.342765326
108	2.333541378
109	2.323914123
110	2.31500831
111	2.306105699
112	2.297566213
113	2.288438746
114	2.2796521
115	2.271002289
116	2.262341643
117	2.254105244
118	2.246326793
119	2.238560488
120	2.230551063
121	2.223165355
122	2.215245057
123	2.207850386
124	2.200099647
125	2.192782127
126	2.185862334
127	2.178703085
128	2.172070681
129	2.165483894
130	2.159013139
131	2.151725378
132	2.144821553
133	2.138166727
134	2.132110102
135	2.125788919
136	2.118960309
137	2.112768538
138	2.10706757
139	2.101387378
140	2.095489964
141	2.090066308
142	2.084663642
143	2.078461543
144	2.072745553
145	2.06704406
146	2.062095767
147	2.056605606
148	2.051732835
149	2.046771037
150	2.041286514
151	2.036727609
152	2.032181863
153	2.026933348
154	2.021928591
155	2.016831458
156	2.012386122
157	2.008204051
158	2.003943597
159	1.999709266
160	1.995743952
161	1.991821757
162	1.987224722
163	1.983445188
164	1.979726035
165	1.975880331
166	1.972139048
167	1.967838708
168	1.964361614
169	1.960323988
170	1.956815657
171	1.952776074
172	1.949515288
173	1.945584115
174	1.942466144
175	1.939360693
176	1.936385406
177	1.93338353
178	1.930419528
179	1.927342951
180	1.923377212
181	1.920576371
182	1.917101616
183	1.914205896
184	1.910840688
185	1.907354556
186	1.904566172
187	1.902094248
188	1.899160463
189	1.896525487
190	1.894021862
191	1.89022565
192	1.887170686
193	1.884186226
194	1.880539558
195	1.878312758
196	1.875468156
197	1.871953223
198	1.86912724
199	1.866413535
200	1.863646159
201	1.861503837
202	1.859292954
203	1.856018778
204	1.854013723
205	1.8518405
206	1.848698551
207	1.846595851
208	1.844705489
209	1.841717429
210	1.839706299
211	1.837734085
212	1.834774228
213	1.8330715
214	1.830210578
215	1.827776368
216	1.826116333
217	1.823528799
218	1.821744668
219	1.820153093
220	1.817498101
221	1.815978524
222	1.813405473
223	1.810839472
224	1.809205937
225	1.806659286
226	1.805235891
227	1.803856293
228	1.80198587
229	1.800647955
230	1.798225753
231	1.796979928
232	1.794775757
233	1.792410908
234	1.790067651
235	1.788582246
236	1.787353562
237	1.785096013
238	1.782888637
239	1.781489278
240	1.77932146
241	1.778016593
242	1.776928882
243	1.774840866
244	1.773104751
245	1.771051917
246	1.769731739
247	1.767996174
248	1.766821208
249	1.765700586
250	1.764434838
251	1.762500976
252	1.760612257
253	1.758766225
254	1.757753087
255	1.756680958
256	1.75580139
257	1.754032656
258	1.75287964
259	1.752029432
260	1.751009671
261	1.750193718
262	1.749202046
263	1.747437442
264	1.745758078
265	1.744410893
266	1.74365275
267	1.741983893
268	1.741085365
269	1.740187574
270	1.739160355
