iter	Passed	Remaining
0	77	13963686
1	156	14098686
2	234	14042282
3	312	14057710
4	389	14030895
5	467	14019906
6	544	14009556
7	621	13993621
8	699	13991721
9	778	14011096
10	854	13987957
11	932	13989160
12	1010	13985498
13	1086	13971467
14	1163	13966798
15	1240	13955982
16	1318	13964561
17	1396	13962727
18	1473	13953604
19	1550	13949010
20	1627	13948036
21	1703	13939194
22	1781	13942433
23	1858	13933771
24	1936	13940693
25	2013	13934156
26	2089	13927349
27	2166	13924819
28	2243	13920008
29	2322	13932949
30	2398	13926227
31	2475	13922999
32	2552	13920428
33	2631	13926797
34	2707	13922435
35	2788	13937644
36	2866	13939940
37	2945	13951210
38	3024	13958242
39	3101	13954565
40	3178	13950108
41	3255	13948877
42	3333	13949448
43	3410	13947266
44	3487	13945511
45	3563	13941555
46	3640	13938072
47	3718	13941154
48	3797	13947868
49	3874	13945998
50	3952	13946723
51	4029	13943446
52	4105	13940177
53	4183	13939153
54	4260	13938911
55	4337	13938766
56	4414	13936338
57	4491	13935613
58	4569	13935381
59	4646	13933465
60	4722	13929476
61	4799	13930544
62	4875	13926531
63	4953	13925752
64	5029	13922712
65	5105	13917999
66	5182	13917597
67	5258	13915429
68	5335	13914045
69	5415	13919251
70	5490	13913792
71	5564	13905062
72	5639	13899093
73	5714	13895397
74	5791	13894175
75	5867	13890699
76	5943	13888531
77	6020	13887019
78	6095	13882559
79	6174	13886805
80	6253	13891446
81	6328	13886586
82	6411	13897061
83	6489	13899414
84	6565	13896982
85	6641	13895176
86	6718	13894107
87	6795	13892555
88	6874	13895604
89	6951	13895204
90	7029	13897113
91	7104	13892573
92	7178	13887032
93	7255	13886908
94	7335	13892320
95	7412	13890126
96	7490	13891876
97	7566	13890563
98	7642	13887567
99	7720	13889672
100	7798	13889628
101	7873	13887322
102	7949	13885210
103	8031	13893408
104	8110	13895405
105	8187	13895126
106	8266	13898467
107	8345	13901149
108	8422	13900302
109	8500	13902155
110	8577	13900206
111	8653	13898863
112	8728	13895696
113	8805	13895191
114	8885	13898262
115	8963	13899828
116	9041	13901643
117	9119	13901453
118	9194	13897718
119	9271	13897782
120	9350	13901006
121	9426	13898224
122	9505	13900949
123	9583	13901979
124	9659	13900550
125	9740	13904587
126	9818	13906401
127	9898	13910318
128	9974	13908421
129	10051	13907411
130	10129	13907866
131	10205	13906903
132	10282	13906223
133	10361	13908701
134	10437	13906625
135	10513	13903950
136	10591	13904625
137	10669	13906519
138	10744	13903414
139	10821	13903114
140	10902	13907118
141	10978	13905578
142	11053	13902996
143	11131	13903064
144	11210	13905093
145	11287	13904272
146	11363	13903117
147	11446	13909605
148	11522	13908762
149	11600	13909279
150	11673	13903952
151	11749	13902118
152	11827	13902587
153	11904	13902484
154	11981	13901649
155	12057	13900045
156	12135	13900865
157	12210	13898760
158	12288	13898944
159	12366	13899877
160	12443	13899743
161	12521	13899844
162	12596	13898195
163	12672	13896550
164	12748	13894799
165	12827	13896630
166	12906	13898355
167	12981	13896279
168	13058	13895870
169	13139	13899697
170	13217	13899618
171	13293	13898572
172	13373	13901620
173	13449	13899505
174	13523	13896649
175	13602	13898378
176	13678	13896416
177	13753	13894143
178	13831	13894705
179	13910	13896887
180	13988	13896954
181	14061	13892841
182	14134	13888263
183	14210	13887395
184	14287	13886748
185	14365	13887375
186	14442	13887189
187	14517	13885444
188	14593	13883982
189	14671	13884873
190	14744	13880484
191	14828	13886672
192	14904	13886072
193	14980	13884677
194	15063	13889809
195	15140	13889175
196	15219	13890935
197	15303	13897278
198	15379	13895474
199	15455	13894430
200	15533	13895237
201	15609	13893730
202	15687	13894390
203	15770	13899581
204	15845	13897162
205	15924	13898348
206	16007	13903515
207	16084	13903160
208	16158	13900166
209	16240	13904603
210	16318	13904573
211	16395	13904337
212	16478	13909035
213	16554	13908005
214	16637	13912741
215	16712	13910509
216	16786	13907179
217	16862	13905942
218	16939	13905654
219	17014	13903797
220	17096	13907507
221	17171	13905593
222	17250	13906976
223	17333	13911735
224	17410	13911317
225	17494	13916014
226	17568	13913737
227	17644	13912486
228	17720	13910715
229	17797	13911032
230	17882	13916799
231	17957	13914505
232	18032	13912556
233	18115	13916922
234	18191	13915478
235	18267	13914618
236	18343	13913348
237	18419	13912143
238	18502	13916566
239	18577	13914634
240	18652	13913046
241	18729	13912437
242	18808	13913456
243	18892	13918401
244	18967	13915976
245	19042	13914585
246	19120	13915028
247	19197	13914484
248	19273	13913242
249	19351	13913699
250	19428	13913011
251	19510	13916659
252	19586	13915187
253	19661	13913744
254	19735	13911553
255	19811	13910251
256	19887	13908926
257	19962	13907443
258	20039	13906883
259	20117	13907198
260	20196	13908592
261	20272	13907108
262	20349	13907135
263	20425	13905726
264	20500	13904071
265	20580	13905962
266	20655	13904505
267	20730	13902962
268	20806	13901840
269	20882	13900744
270	20958	13899692
271	21033	13898189
272	21108	13896899
273	21183	13895110
274	21260	13894504
275	21335	13892881
276	21409	13891135
277	21485	13889695
278	21560	13888328
279	21635	13886834
280	21713	13887231
281	21797	13891548
282	21872	13889927
283	21950	13890142
284	22025	13888962
285	22101	13887781
286	22181	13889612
287	22256	13887926
288	22333	13887560
289	22408	13886200
290	22487	13887322
291	22563	13886279
292	22638	13885103
293	22713	13883747
294	22789	13882601
295	22866	13882184
296	22941	13880888
297	23015	13879082
298	23090	13877800
299	23166	13876897
300	23250	13880630
301	23332	13883282
302	23405	13880845
303	23478	13878359
304	23553	13876959
305	23629	13876016
306	23704	13874515
307	23777	13871889
308	23852	13870784
309	23926	13868930
310	23999	13866275
311	24079	13868179
312	24155	13866924
313	24230	13866046
314	24304	13864218
315	24381	13863707
316	24456	13862420
317	24533	13862519
318	24611	13863004
319	24684	13860539
320	24756	13857662
321	24838	13859900
322	24916	13860216
323	24989	13857968
324	25066	13857932
325	25140	13856236
326	25220	13857699
327	25297	13857356
328	25373	13857048
329	25449	13856103
330	25522	13853649
331	25596	13852209
332	25675	13852759
333	25750	13851835
334	25825	13850794
335	25906	13852334
336	25982	13851797
337	26062	13853626
338	26137	13852215
339	26212	13851011
340	26289	13850897
341	26366	13850702
342	26441	13849809
343	26521	13851194
344	26602	13853192
345	26674	13850096
346	26747	13848003
347	26828	13849844
348	26902	13848522
349	26975	13846386
350	27060	13850167
351	27133	13847942
352	27208	13847004
353	27283	13845905
354	27359	13844927
355	27434	13843750
356	27570	13873720
357	27644	13871691
358	27718	13870354
359	27796	13870488
360	27870	13868796
361	27943	13866595
362	28026	13869577
363	28101	13868148
364	28181	13869580
365	28261	13870806
366	28341	13872273
367	28419	13872352
368	28495	13871830
369	28568	13869477
370	28640	13867050
371	28714	13865324
372	28787	13863213
373	28863	13862834
374	28940	13862729
375	29017	13862201
376	29094	13862147
377	29173	13862867
378	29247	13861442
379	29324	13861149
380	29401	13861051
381	29478	13861007
382	29554	13860475
383	29641	13864884
384	29721	13866183
385	29794	13863879
386	29867	13861930
387	29938	13858836
388	30007	13855190
389	30078	13852326
390	30149	13849506
391	30221	13847120
392	30290	13843096
393	30359	13839606
394	30433	13837852
395	30502	13834168
396	30576	13832762
397	30646	13829733
398	30721	13828567
399	30793	13826149
400	30863	13823034
401	30933	13819803
402	31003	13816493
403	31072	13813110
404	31144	13810716
405	31212	13806850
406	31279	13802607
407	31348	13798976
408	31417	13795464
409	31487	13792127
410	31556	13788898
411	31630	13787309
412	31704	13786190
413	31778	13784762
414	31849	13782499
415	31918	13779039
416	31988	13775968
417	32063	13775011
418	32133	13772109
419	32205	13770196
420	32280	13769268
421	32356	13768899
422	32429	13767538
423	32501	13765301
424	32575	13764029
425	32647	13761897
426	32721	13761060
427	32795	13759499
428	32870	13759055
429	32944	13757821
430	33015	13755305
431	33089	13754154
432	33162	13752770
433	33238	13752233
434	33312	13751008
435	33386	13750106
436	33459	13748313
437	33527	13744883
438	33603	13744636
439	33673	13741875
440	33739	13737585
441	33814	13736937
442	33888	13735596
443	33962	13734481
444	34034	13732747
445	34108	13731497
446	34182	13730681
447	34256	13729683
448	34329	13727929
449	34395	13723780
450	34463	13720446
451	34532	13717291
452	34601	13714263
453	34680	13715113
454	34749	13712269
455	34820	13709967
456	34899	13711203
457	34974	13710640
458	35044	13708053
459	35116	13705936
460	35186	13703594
461	35260	13702483
462	35328	13699431
463	35401	13697868
464	35476	13697273
465	35547	13695161
466	35613	13691206
467	35683	13688657
468	35753	13686265
469	35823	13683698
470	35894	13681922
471	35966	13680164
472	36034	13676880
473	36106	13675067
474	36174	13672027
475	36246	13670532
476	36319	13669113
477	36391	13667360
478	36460	13664622
479	36528	13661658
480	36599	13659586
481	36664	13655615
482	36733	13652756
483	36798	13648565
484	36868	13646109
485	36932	13641827
486	37001	13639213
487	37068	13635628
488	37141	13634500
489	37207	13630857
490	37278	13628834
491	37348	13626783
492	37417	13624148
493	37486	13621521
494	37554	13618703
495	37623	13615897
496	37689	13612426
497	37762	13611316
498	37829	13608170
499	37899	13605880
500	37969	13603711
501	38040	13601813
502	38116	13602146
503	38188	13600507
504	38258	13598563
505	38327	13595903
506	38398	13594197
507	38470	13592731
508	38544	13592008
509	38616	13590878
510	38689	13589704
511	38775	13593406
512	38852	13593496
513	38920	13590821
514	38990	13588782
515	39061	13586896
516	39127	13583508
517	39196	13581247
518	39266	13579233
519	39335	13576661
520	39405	13574943
521	39476	13573163
522	39543	13570086
523	39609	13566819
524	39678	13564509
525	39749	13562771
526	39822	13561930
527	39894	13560383
528	39970	13560681
529	40040	13558677
530	40110	13556743
531	40178	13554123
532	40253	13553901
533	40337	13556445
534	40416	13557815
535	40497	13559354
536	40581	13562105
537	40666	13565319
538	40749	13567632
539	40832	13570099
540	40918	13573229
541	41004	13576734
542	41092	13580826
543	41175	13583119
544	41260	13585927
545	41341	13587681
546	41423	13589692
547	41503	13590970
548	41580	13591529
549	41658	13591996
550	41733	13591773
551	41812	13592684
552	41884	13591555
553	41957	13590346
554	42034	13590907
555	42117	13592895
556	42196	13593898
557	42275	13595043
558	42351	13595140
559	42438	13598612
560	42514	13598623
561	42592	13599190
562	42666	13598573
563	42746	13599897
564	42827	13601272
565	42916	13605391
566	42999	13607550
567	43075	13607585
568	43154	13608504
569	43238	13610973
570	43324	13614073
571	43408	13616514
572	43488	13617842
573	43572	13620322
574	43646	13619733
575	43723	13619956
576	43799	13619741
577	43879	13621140
578	43967	13624762
579	44048	13626319
580	44132	13628468
581	44211	13629357
582	44291	13630686
583	44368	13630939
584	44441	13630013
585	44527	13632792
586	44606	13633681
587	44688	13635534
588	44771	13637383
589	44849	13638126
590	44934	13640839
591	45019	13643341
592	45103	13645682
593	45187	13647979
594	45268	13649401
595	45343	13649046
596	45432	13652872
597	45519	13656076
598	45592	13654937
599	45665	13653954
600	45742	13654102
601	45817	13653716
602	45896	13654642
603	45974	13655169
604	46051	13655238
605	46127	13654966
606	46203	13655104
607	46282	13655669
608	46362	13656825
609	46437	13656491
610	46520	13658265
611	46598	13658735
612	46692	13663856
613	46771	13664842
614	46847	13664564
615	46917	13662772
